OTUID	SRR4446532	SRR4446534	SRR4446536	SRR4446538	SRR4446540	SRR4446542	SRR4446544	SRR4446546	SRR4446548	SRR4446550	SRR4446552	SRR4446554	SRR4446557	SRR4446558	SRR4446559	SRR4446564	SRR4446566	SRR4446568	SRR4446570	SRR4446572	SRR4446574	SRR4446576	SRR4446578	SRR4446579	SRR4446582	SRR4446584	SRR4446586	SRR4446588	SRR4446590	SRR4446592	SRR4446594	SRR4446595	SRR4446597	SRR4446598	SRR4446601	SRR4446604	SRR4446605	SRR4446607	SRR4446609	SRR4446611	taxonomy
2c56b619a11364485b36cefa22b436cc	0.0	7627.0	31.0	0.0	4.0	0.0	148.0	0.0	541.0	11.0	31.0	0.0	0.0	112.0	106.0	103.0	23.0	302.0	0.0	16.0	0.0	105.0	212.0	26.0	0.0	106.0	170.0	0.0	369.0	0.0	0.0	96.0	421.0	0.0	0.0	20.0	0.0	0.0	927.0	16.0	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium
980d086b8f04d63c2502ae605b6a0956	0.0	0.0	229.0	290.0	0.0	0.0	0.0	0.0	0.0	0.0	319.0	40.0	54.0	0.0	2216.0	349.0	0.0	379.0	39.0	446.0	0.0	653.0	1128.0	856.0	217.0	678.0	10.0	371.0	0.0	487.0	0.0	0.0	0.0	94.0	1012.0	178.0	285.0	0.0	236.0	600.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__UCG-002; s__uncultured_organism
141f0af4251808a489d3682fb2e66026	0.0	0.0	842.0	46.0	163.0	534.0	90.0	0.0	887.0	1431.0	0.0	0.0	56.0	474.0	662.0	396.0	56.0	500.0	295.0	63.0	0.0	544.0	626.0	487.0	88.0	57.0	0.0	313.0	429.0	367.0	0.0	299.0	0.0	0.0	313.0	317.0	0.0	102.0	159.0	512.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Parabacteroides; s__Parabacteroides_merdae
691a92edbb563be56ed139d828e0acfb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8137.0	0.0	0.0	0.0	0.0	0.0	18.0	2779.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Alloprevotella
5f58db3abbdbfa7e8e911eb0ad677d61	0.0	71.0	107.0	1603.0	20.0	275.0	998.0	0.0	169.0	0.0	0.0	464.0	1912.0	133.0	215.0	177.0	18.0	590.0	358.0	9.0	0.0	119.0	145.0	19.0	1148.0	0.0	0.0	162.0	30.0	0.0	958.0	86.0	57.0	34.0	741.0	0.0	58.0	36.0	0.0	32.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae
01a38e03098a33dc29a2fe8f0fbb17f6	0.0	0.0	334.0	0.0	0.0	153.0	0.0	0.0	287.0	926.0	0.0	0.0	82.0	894.0	2011.0	59.0	0.0	0.0	0.0	61.0	0.0	1854.0	475.0	1011.0	0.0	0.0	0.0	508.0	0.0	0.0	0.0	525.0	743.0	0.0	0.0	0.0	333.0	117.0	0.0	362.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides
c73b6b7f592410e11c536d42a8e01b99	89.0	0.0	205.0	0.0	417.0	374.0	226.0	1797.0	0.0	262.0	303.0	1406.0	79.0	166.0	208.0	126.0	33.0	149.0	101.0	0.0	178.0	134.0	460.0	227.0	45.0	0.0	667.0	113.0	489.0	0.0	132.0	299.0	751.0	226.0	0.0	136.0	285.0	0.0	118.0	321.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides
9a21b4d7d4c9e5fd4739903f9dda73ce	0.0	94.0	156.0	16.0	0.0	0.0	8.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	1129.0	39.0	11.0	1181.0	0.0	0.0	0.0	2319.0	3453.0	16.0	21.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	303.0	713.0	0.0	0.0	482.0	335.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Christensenellales; f__Christensenellaceae; g__Christensenellaceae_R-7_group
b4159bb73d6044d4649eb2d4b52cc571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10114.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__Prevotella_stercorea
e7a147bf9883164ea3df0361fd0852c4	0.0	252.0	297.0	106.0	119.0	0.0	148.0	504.0	0.0	0.0	377.0	603.0	103.0	524.0	279.0	98.0	368.0	360.0	252.0	45.0	575.0	249.0	0.0	851.0	174.0	205.0	243.0	139.0	0.0	178.0	306.0	175.0	0.0	435.0	147.0	263.0	282.0	613.0	260.0	532.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae
